name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Nate Sherwood,15,0.161,0.094,0.35700000000000004,0.016,0.038,1,2015-16,Idaho
Jordan Scott,14,0.18600000000000003,0.207,0.545,0.10300000000000001,0.125,0.33299999999999996,2015-16,Idaho
Arkadiy Mkrtychyan,13,0.09300000000000001,0.14800000000000002,0.818,0.039,0.045,0.5,2015-16,Idaho
Ty Egbert,12,0.145,0.106,0.41700000000000004,0,0,NA,2015-16,Idaho
Nick Blair,12,0.273,0.312,0.833,0,0,NA,2015-16,Idaho
Nahshon George,11,0.096,0.083,0.429,0.08900000000000001,0,0,2015-16,Idaho
Chris Sarbaugh,10,0.159,0.207,0.857,0.034,0.026000000000000002,0.33299999999999996,2015-16,Idaho
Paulin Mpawe,5,0.364,0.33299999999999996,0.25,0.5,1,1,2015-16,Idaho
Perrion Callandret,5,0.042,0.045,0.5,0.043,0.065,0.667,2015-16,Idaho
Victor Sanders,5,0.062,0.11800000000000001,1,0,0,NA,2015-16,Idaho
Skyler White,3,0.33299999999999996,0.33299999999999996,0.5,0,0,NA,2015-16,Idaho
Chad Sherwood,1,0,0,NA,0,0,NA,2015-16,Idaho
Pat Ingram,1,0.022000000000000002,0,0,0,0,NA,2015-16,Idaho
Total,107,0.124,0.134,0.586,0.033,0.036000000000000004,0.41200000000000003,2015-16,Idaho
